sales,url,since,name,location
251,https://www.etsy.com/uk/shop/VICTORIASPIRINA,2015,VICTORIASPIRINA,Russia
11,https://www.etsy.com/uk/shop/BrokVintageCo,2018,BrokVintageCo,
163,https://www.etsy.com/uk/shop/VelvetRebelLingerie,2015,VelvetRebelLingerie,"London, United Kingdom"
28,https://www.etsy.com/uk/shop/SweetLoveByMary,2018,SweetLoveByMary,"Poltava, Ukraine"
126,https://www.etsy.com/uk/shop/ComfortablyLovelyVG,2012,ComfortablyLovelyVG,
419,https://www.etsy.com/uk/shop/Pantiesfashion,2018,Pantiesfashion,
983,https://www.etsy.com/uk/shop/OutofthePastClothing,2015,OutofthePastClothing,"Hamilton, Canada"
1338,https://www.etsy.com/uk/shop/MadElephantShopEU,2015,MadElephantShopEU,
412,https://www.etsy.com/uk/shop/LaSelkie,2016,LaSelkie,"Grenoble, France"
1237,https://www.etsy.com/uk/shop/LadyLucie,2009,LadyLucie,"London, United Kingdom"
502,https://www.etsy.com/uk/shop/LoveLightEarth,2015,LoveLightEarth,"Arambol, India"
2238,https://www.etsy.com/uk/shop/SurfandSunBoutique,2012,SurfandSunBoutique,"Palm Coast, Florida"
944,https://www.etsy.com/uk/shop/FetasiaLatex,2010,FetasiaLatex,"Leeds, United Kingdom"
1753,https://www.etsy.com/uk/shop/Garbostreasures,2009,Garbostreasures,
4,https://www.etsy.com/uk/shop/MowaaFitnessWear,2018,MowaaFitnessWear,"Deerfield Beach, Florida"
3877,https://www.etsy.com/uk/shop/vintagedame,2008,vintagedame,"Lemoyne, Pennsylvania"
495,https://www.etsy.com/uk/shop/INNOVATIONFORNIGHT,2011,INNOVATIONFORNIGHT,
314,https://www.etsy.com/uk/shop/MaureenShieldsShop,2007,MaureenShieldsShop,"San Francisco, California"
32,https://www.etsy.com/uk/shop/Luxilinge,2019,Luxilinge,
3635,https://www.etsy.com/uk/shop/avintagecamper,2013,avintagecamper,"Richmond, Virginia"
440,https://www.etsy.com/uk/shop/EstyLingerie,2011,EstyLingerie,"Barcelona, Spain"
412,https://www.etsy.com/uk/shop/LoveunderLingerie,2017,LoveunderLingerie,"Kyiv, Ukraine"
4078,https://www.etsy.com/uk/shop/charmhuntress,2013,charmhuntress,"Fond du Lac, Wisconsin"
2682,https://www.etsy.com/uk/shop/DelilahBurlesque,2009,DelilahBurlesque,"New York, United States"
6796,https://www.etsy.com/uk/shop/kchoos,2010,kchoos,
2069,https://www.etsy.com/uk/shop/iconoclasp,2009,iconoclasp,"Grand Rapids, Michigan"
1142,https://www.etsy.com/uk/shop/GhostRabbitsVintage,2014,GhostRabbitsVintage,"Pagosa Springs, Colorado"
2007,https://www.etsy.com/uk/shop/PipAndPantalaimon,2013,PipAndPantalaimon,"Oxford, United Kingdom"
0,https://www.etsy.com/uk/shop/sherlingerie,2018,sherlingerie,"Kyiv, Ukraine"
1,https://www.etsy.com/uk/shop/LeatherFigureShop,2019,LeatherFigureShop,"Kyiv, Ukraine"
36,https://www.etsy.com/uk/shop/KralyaLingerie,2018,KralyaLingerie,"Kyiv, Ukraine"
1974,https://www.etsy.com/uk/shop/dbleudazzled,2011,dbleudazzled,"Los Angeles, California"
211,https://www.etsy.com/uk/shop/RadicalSilk,2018,RadicalSilk,"Toulon, France"
1855,https://www.etsy.com/uk/shop/PandorasClosetbyAJ,2014,PandorasClosetbyAJ,"Miami Beach, Florida"
451,https://www.etsy.com/uk/shop/Modalllab,2015,Modalllab,
58,https://www.etsy.com/uk/shop/HHMSProducts,2018,HHMSProducts,"Westchester Square, New York"
1244,https://www.etsy.com/uk/shop/HarnessByOlgaKu,2017,HarnessByOlgaKu,"Kyiv, Ukraine"
871,https://www.etsy.com/uk/shop/MirasolSwimwear,2013,MirasolSwimwear,"Coral Springs, Florida"
35,https://www.etsy.com/uk/shop/ElphinStore,2019,ElphinStore,"Odesa, Ukraine"
173,https://www.etsy.com/uk/shop/omegacraftss,2017,omegacraftss,"Ajmer, India"
197,https://www.etsy.com/uk/shop/MagicCrochetWorld,2016,MagicCrochetWorld,
108,https://www.etsy.com/uk/shop/LUCOSSANI,2011,LUCOSSANI,"Montevideo, Uruguay"
87,https://www.etsy.com/uk/shop/EPICNESactivewear,2016,EPICNESactivewear,"Toronto, Canada"
