comment_counts,name,comment_value,since,sales,url,location
19,FernAndBrambleCo,5,2018,109,https://www.etsy.com/uk/shop/FernAndBrambleCo,"Slaithwaite, United Kingdom"
1237,Gilliauna,4.9149,2009,5057,https://www.etsy.com/uk/shop/Gilliauna,"Sumas, Washington"
438,Midgaarb,5,2015,1610,https://www.etsy.com/uk/shop/Midgaarb,"Portland, Oregon"
27,VikingBalms,4.7619,2018,96,https://www.etsy.com/uk/shop/VikingBalms,"Redding, California"
38,OldHickoryForge,4.9412,2016,147,https://www.etsy.com/uk/shop/OldHickoryForge,
11,MyLaserFantasy,5,2019,102,https://www.etsy.com/uk/shop/MyLaserFantasy,
778,ForgedCommodities,4.8739,2017,3835,https://www.etsy.com/uk/shop/ForgedCommodities,"Kyiv, Ukraine"
649,CrystalCrafCreations,4.8113,2017,3403,https://www.etsy.com/uk/shop/CrystalCrafCreations,"Ahmedabad, India"
188,ZxBx,4.9773,2016,709,https://www.etsy.com/uk/shop/ZxBx,"Kyiv, Ukraine"
243,LOVABLEPINATAS,4.8857,2016,1165,https://www.etsy.com/uk/shop/LOVABLEPINATAS,"Fleming Island, Florida"
1751,TheWickedGriffin,4.9511,2011,5409,https://www.etsy.com/uk/shop/TheWickedGriffin,"San Tan Valley, Arizona"
27,magicalcharmjewelry,4.8889,2019,147,https://www.etsy.com/uk/shop/magicalcharmjewelry,"Salem, Massachusetts"
178,MyliuDesign,4.967,2009,855,https://www.etsy.com/uk/shop/MyliuDesign,"Bristol, United Kingdom"
191,HeavyMetalFantasyArt,4.908,2017,1007,https://www.etsy.com/uk/shop/HeavyMetalFantasyArt,"Hunedoara, Romania"
1,GearAndGraith,5,2018,2,https://www.etsy.com/uk/shop/GearAndGraith,"Kirkintilloch, United Kingdom"
448,AmorArt,4.9928,2011,1492,https://www.etsy.com/uk/shop/AmorArt,
16,HeathenByNature,4.9375,2018,67,https://www.etsy.com/uk/shop/HeathenByNature,"Sioux Falls, South Dakota"
96,HatsbyKami,5,2015,744,https://www.etsy.com/uk/shop/HatsbyKami,"West Valley City, Utah"
5,StrobusForge,5,2019,21,https://www.etsy.com/uk/shop/StrobusForge,
