url,airline,rank,,
https://www.lufthansa.com/online/portal/lh/us/infoservice/baggage?nodeid=305559505&l=en,Lufthansa,,,
https://www.malaysiaairlines.com/content/dam/mas/pdf/MAB_general_conditions_of_carriage.pdf,Malaysia Airlines,,,
https://www.malindoair.com/the-malindo-experience/baggage2,Malindo Air,,,
https://www.mea.com.lb/english/Traveler-Info/Passenger-Services#transportationanimals,Middle East Airlines,,,
https://www.mistralair.it/en/flying-informed/prior-to-the-flight,Mistral Air,,,
https://www.neosair.it/en/before_the_flight/baggages/pet_transportation,Neos Air,,,
https://www.nordica.ee/en/information/travelling-with-pets/,Nordica,,,
https://nordstar.ru/services/animals/,Nordstar,,,
https://nordwindairlines.ru/en/baggage/animals,Nordwind Airlines,,,
https://www.olympicair.com/en/Info/Special/Pets,Olympic Air,,,
https://www.omanair.com/en/legal/conditions-of-carriage,Oman Air,,,
https://www.flypgs.com/en/write-to-us/a0j58000000NHWFAA4,Pegasus Airlines,,,
https://www.philippineairlines.com/TravelInformation/BeforeYouFly/BaggageInformation/SpecialBaggage/Pets,Philippine Airlines,,,
https://primeraair.com/travel-info/special-assistance/travelling-with-animals/,Primera Air,,,
https://www.flyravn.com/flying-with-ravn/traveling-with-your-pet/,Ravn Alaska,,,
https://www.royalairmaroc.com/us-en/Practical-Guide/Transporting-animals,Royal Air Maroc,,,
https://www.flyroyalbrunei.com/rba/carriage-conditions.php,Royal Brunei Airlines,,,
https://rj.com/en/info-and-tips/special-services/flying-with-pets,Royal Jordanian,,,
https://www.s7.ru/en/home/about/news/s7-simplifies-the-rules-of-pet's-transportation,S7 Airlines,,,
http://www.safiairways.com/toc,Safi Airways,,,
https://www.sata.pt/en/node/30,Sata Air Acores,,,
http://www.saudigulfairlines.com/en/conditions-of-carriage,SaudiGulf Airlines,,,
https://www.flysas.com/en/us/travel-info/other/travel-with-animals/,Scandinavian Airlines,,,
https://www.singaporeair.com/en_UK/us/travel-info/special-assistance/travelling-with-pets/,Scoot,,,
https://www.silverairways.com/more-information/travel-policies/policy/pets-in-cabin,Silver Airways,,,
https://www.smallplanet.aero/en/passenger-information/1222#pets-1454,Small Planet Airlines,,,
http://www.smartlynx.aero/passengers/special-needs/petseng,SmartLynx Airlines,,,
https://www.smartwings.com/en/travel-info/faq/non-standard-items/can-i-fly-with-my-pet/,SmartWings,,,
https://www.flysaa.com/cms/us/en/flyingSAA/baggage/travellingWithPets.html,South Africa Airways,,,
https://www.srilankan.com/en_uk/flying-with-us/article_8_baggage,Srilankan Airlines,,,
https://www.suncountry.com/Fly/Travel-Information/Traveling-with-Pets.html,Sun Country,,,
https://www.sunexpress.com/en/information/luggage-info/transporting-animals/,Sun Express,,,
https://www.swiss.com/US/EN/prepare/special-services/travelling-with-animals.html,Swiss International Air Lines,,,
https://www.flytap.com/en-us/special-needs/traveling-with-animals?gclid=EAIaIQobChMIkbnWuorW2gIVDqhpCh0V6QtVEAAYASAAEgLEP_D_BwE&gclsrc=aw.ds&dclid=CJO2gLyK1toCFcHawAodlVAJCA,Tap Air Portugal,,,
https://www.tarom.ro/en/passenger-information/about-your-trip/travelling-with-pets.html,TAROM,,,
https://www.thomascookairlines.com/en/book-plan/extras/baggage-allowance/sports-and-other-baggage/pets-and-other-baggage.jsp,Thomas Cook Airlines,,,
https://www.transavia.com/en-EU/faq/pets/,Transavia,,,
https://www.tuifly.com/en/service/tiere.html,TUI Airways,,,
http://www.tunisair.com/site/publish/content/article.asp?ID=880&Lang=en,Tunisair,,,
https://www.flyuia.com/ua/en/information/traveling-with-pets,Ukraine International Airlines,,,
https://www.ups.com/us/en/help-center/packaging-and-supplies/special-care-shipments/animals.page,UPS Airlines,,,
https://www.uralairlines.com/en/passengers-info/rules/zhivotnye/,Ural Airlines,,,
https://www.utair.ru/en/information/faq/the-rules-of-transporting-animals/,Utair,,,
https://www.vietnamairlines.com/be/en/travel-information/baggage/special-baggage,Vietnam Airlines,,,
https://www.virginaustralia.com/us/en/plan/specific-needs-assistance/pets/,Virgin Australia Airlines,,,
https://cms.volaris.com/en/traveling-with-volaris/optional-services/fly-with-your-pet-on-board/,Volaris,,,
http://www.volotea.com/en/frequently-asked-questions/pets-on-board/,VOLOTEA,,,
https://www.vueling.com/en/vueling-services/prepare-your-trip/pets-on-board,Vueling,,,
http://www.flywhite.com/baggage/347.htm,White Airlines,,,
https://wizzair.com/en-gb/information-and-services/travel-information/baggage#faq-can-i-carry-my-pet-on-wizz-air-flights,Wizz Air,,,
https://wowair.us/customer-service/faq/pets-and-service-animals/,WOW Air,,,
https://www.xiamenair.com/en-cn/passengerservice/passenger4_2.html,Xiamen Airlines,,,
https://www.xl.com/us/helpful-information/travelling-animals,XL Airways,,,
