comment_counts,comment_value,location,record_date,record_time,sales,search_key,search_pages,shop_name,since,url
880,4.8984,"San Fernando de Henares, Spain",20190720,2019-07-20 15:47:27.684224,2801,viking,10,NorthernTrader,2015,https://www.etsy.com/uk/shop/NorthernTrader
216,4.94,"Sotrondio, Spain",20190720,2019-07-20 15:47:27.892221,783,viking,10,OlegWoodArt,2016,https://www.etsy.com/uk/shop/OlegWoodArt
6,5.0,"Washington, D.C.",20190720,2019-07-20 15:47:27.968919,35,viking,10,PencilJoy,2016,https://www.etsy.com/uk/shop/PencilJoy
2162,4.9859,"Cornish, Maine",20190720,2019-07-20 15:47:28.042826,7359,viking,10,sparrowhawk9,2008,https://www.etsy.com/uk/shop/sparrowhawk9
113,5.0,"Cloudcroft, New Mexico",20190720,2019-07-20 15:47:28.253761,436,viking,10,TheDarkMarkCo,2013,https://www.etsy.com/uk/shop/TheDarkMarkCo
38,5.0,"Šiauliai, Lithuania",20190720,2019-07-20 15:47:28.293074,137,viking,10,VikingSunWovenTrim,2018,https://www.etsy.com/uk/shop/VikingSunWovenTrim
50,4.8889,"Velezzo Lomellina, Italy",20190720,2019-07-20 15:47:28.374285,291,viking,10,Emelunashop,2016,https://www.etsy.com/uk/shop/Emelunashop
439,5.0,"Portland, Oregon",20190720,2019-07-20 15:47:28.525013,1614,viking,10,Midgaarb,2015,https://www.etsy.com/uk/shop/Midgaarb
933,4.9512,"St Petersburg, Russia",20190720,2019-07-20 15:47:28.574875,3646,viking,10,AmritaSPB,2016,https://www.etsy.com/uk/shop/AmritaSPB
939,4.9391,"Brooklyn, New York",20190720,2019-07-20 15:47:28.673677,8878,viking,10,TATTOOSBYFRENZYFLARE,2015,https://www.etsy.com/uk/shop/TATTOOSBYFRENZYFLARE
44,4.8846,"Pittsburgh, Pennsylvania",20190720,2019-07-20 15:47:28.912035,171,viking,10,AGiftFromTheFire,2017,https://www.etsy.com/uk/shop/AGiftFromTheFire
71,4.7324,"Dallas, Georgia",20190720,2019-07-20 15:47:28.952057,334,viking,10,RagnaroksEnd,2015,https://www.etsy.com/uk/shop/RagnaroksEnd
9,5.0,"Tiffin, Ohio",20190720,2019-07-20 15:47:28.991605,101,viking,10,Ginasvinylcreations,2018,https://www.etsy.com/uk/shop/Ginasvinylcreations
98,4.9898,"Kyiv, Ukraine",20190720,2019-07-20 15:47:29.065261,2416,viking,10,BigBoyEmbroidery,2019,https://www.etsy.com/uk/shop/BigBoyEmbroidery
9768,4.9497,"Beaver Dam, Wisconsin",20190720,2019-07-20 15:47:29.235634,31636,viking,10,LitttleBits,2008,https://www.etsy.com/uk/shop/LitttleBits
2207,4.91505039638,"Barcelona, Spain",20190720,2019-07-20 15:47:29.341339,12622,viking,10,TTTattoodotcom,2014,https://www.etsy.com/uk/shop/TTTattoodotcom
865,4.9834,"Springfield, Illinois",20190720,2019-07-20 15:47:29.391692,17356,viking,10,NeatPrettyCutFiles,2017,https://www.etsy.com/uk/shop/NeatPrettyCutFiles
13,5.0,"Odessa, Florida",20190720,2019-07-20 15:47:29.426336,35,viking,10,PyreDesigns,2019,https://www.etsy.com/uk/shop/PyreDesigns
