ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.098,8,0.025,,0.432,,rg20hx,0.702
0.246,2,0.007,,0.555,,rg20ne,0.627
0.165,1,0.003,,0.318,,rg20jp,0.788
0.103,,,,0.31,,rg20lj,0.58
0.202,3,0.01,,0.422,,rg20jw,0.726
0.098,8,0.025,,0.432,,rg20ng,0.702
0.103,,,,0.31,,rg20nl,0.58
0.103,,,,0.31,,rg20nj,0.58
0.103,,,,0.31,,rg20lu,0.58
0.103,,,,0.31,,rg20np,0.58
0.149,,,,0.431,,rg20hz,0.698
0.351,6,0.019,,0.477,,rg20ns,0.702
0.098,8,0.025,,0.432,,rg20nt,0.702
0.374,,,,0.767,,rg20lh,0.709
0.34,2,0.007,,0.517,,rg20na,0.549
0.103,,,,0.31,,rg20nb,0.58
0.103,,,,0.31,,rg20nf,0.58
0.103,,,,0.31,,rg20nq,0.58
0.14,3,0.01,,0.426,,rg20je,0.732
0.283,,,,0.463,,rg20nd,0.541
0.098,8,0.025,,0.432,,rg20ny,0.702
0.374,,,,0.767,,rg20nx,0.709
0.34,2,0.007,,0.517,,rg20pf,0.549
0.103,,,,0.31,,rg20hj,0.58
0.103,,,,0.31,,rg20ph,0.58
0.159,,,,0.419,,rg20pj,0.636
0.149,,,,0.431,,rg20pn,0.698
0.103,,,,0.31,,rg20nw,0.58
0.159,,,,0.419,,rg20pl,0.636
0.149,,,,0.431,,rg20nr,0.698
0.14,3,0.01,,0.426,,rg20jr,0.732
0.103,,,,0.31,,rg20nu,0.58
0.374,,,,0.767,,rg20pq,0.709
0.202,3,0.01,,0.422,,rg20lz,0.726
0.149,,,,0.431,,rg20pu,0.698
0.149,,,,0.431,,rg20ly,0.698
0.422,3,0.012,,0.505,,rg20nn,0.78
0.374,,,,0.767,,rg20pa,0.709
0.34,2,0.007,,0.517,,rg20qb,0.549
0.103,,,,0.31,,rg20nh,0.58
0.374,,,,0.767,,rg20pd,0.709
0.159,,,,0.419,,rg20pb,0.636
0.246,2,0.007,,0.555,,rg20qg,0.627
0.374,,,,0.767,,rg20pt,0.709
0.202,3,0.01,,0.422,,rg20qj,0.726
0.202,3,0.01,,0.422,,rg20ps,0.726
0.202,3,0.01,,0.422,,rg20ql,0.726
0.202,3,0.01,,0.422,,rg20qa,0.726
0.34,2,0.007,,0.517,,rg20qq,0.549
0.202,3,0.01,,0.422,,rg20qr,0.726
0.202,3,0.01,,0.422,,rg20qs,0.726
0.202,3,0.01,,0.422,,rg20qh,0.726
0.202,3,0.01,,0.422,,rg20qu,0.726
0.34,2,0.007,,0.517,,rg20qe,0.549
0.374,,,,0.767,,rg20py,0.709
0.202,3,0.01,,0.422,,rg20pw,0.726
0.149,,,,0.431,,rg20ra,0.698
0.159,,,,0.419,,rg20qf,0.636
0.202,3,0.01,,0.422,,rg20qt,0.726
0.374,,,,0.767,,rg20nz,0.709
0.202,3,0.01,,0.422,,rg20qp,0.726
0.34,2,0.007,,0.517,,rg20rg,0.549
0.202,3,0.01,,0.422,,rg20rh,0.726
0.149,,,,0.431,,rg20rj,0.698
0.433,3,0.012,,0.544,,rg20pp,0.644
0.202,3,0.01,,0.422,,rg20rn,0.726
0.202,3,0.01,,0.422,,rg20rd,0.726
0.34,2,0.007,,0.517,,rg20qn,0.549
0.202,3,0.01,,0.422,,rg20rl,0.726
0.374,,,,0.767,,rg20pr,0.709
0.202,3,0.01,,0.422,,rg20rt,0.726
0.149,,,,0.431,,rg20rs,0.698
0.202,3,0.01,,0.422,,rg20px,0.726
0.34,2,0.007,,0.517,,rg20ru,0.549
0.246,2,0.007,,0.555,,rg20rw,0.627
0.202,3,0.01,,0.422,,rg20rz,0.726
0.149,,,,0.431,,rg20qw,0.698
0.34,2,0.007,,0.517,,rg20re,0.549
0.159,,,,0.419,,rg20pe,0.636
