,ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
120,0.433,3.0,0.012,,0.544,,rg1 1gd,0.644
121,0.588,10.0,0.04,,0.629,,rg1 1ew,0.40700000000000003
122,0.39799999999999996,5.0,0.021,,0.652,,rg1 1jh,0.515
123,0.588,10.0,0.04,,0.629,,rg1 1jd,0.40700000000000003
124,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1gr,0.44799999999999995
125,0.514,5.0,0.013999999999999999,,0.385,,rg1 1jn,0.752
126,0.588,10.0,0.04,,0.629,,rg1 1jj,0.40700000000000003
127,0.588,10.0,0.04,,0.629,,rg1 1jg,0.40700000000000003
128,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ju,0.44799999999999995
129,0.588,10.0,0.04,,0.629,,rg1 1js,0.40700000000000003
130,0.514,5.0,0.013999999999999999,,0.385,,rg1 1hs,0.752
131,0.514,5.0,0.013999999999999999,,0.385,,rg1 1jw,0.752
132,0.374,,,,0.767,,rg1 1jf,0.7090000000000001
133,0.588,10.0,0.04,,0.629,,rg1 1jx,0.40700000000000003
134,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1la,0.44799999999999995
135,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1jz,0.44799999999999995
136,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1lb,0.44799999999999995
137,0.514,5.0,0.013999999999999999,,0.385,,rg1 1jq,0.752
138,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1lg,0.44799999999999995
139,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1fz,0.44799999999999995
140,0.514,5.0,0.013999999999999999,,0.385,,rg1 1jl,0.752
141,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ll,0.44799999999999995
142,0.374,,,,0.767,,rg1 1gy,0.7090000000000001
143,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1lr,0.44799999999999995
144,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1jy,0.44799999999999995
145,0.514,5.0,0.013999999999999999,,0.385,,rg1 1hl,0.752
146,0.514,5.0,0.013999999999999999,,0.385,,rg1 1jr,0.752
147,0.588,10.0,0.04,,0.629,,rg1 1lw,0.40700000000000003
148,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1lp,0.44799999999999995
149,0.588,10.0,0.04,,0.629,,rg1 1ha,0.40700000000000003
150,0.588,10.0,0.04,,0.629,,rg1 1lx,0.40700000000000003
151,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ld,0.44799999999999995
152,0.514,5.0,0.013999999999999999,,0.385,,rg1 1nb,0.752
153,0.588,10.0,0.04,,0.629,,rg1 1nd,0.40700000000000003
154,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1le,0.44799999999999995
155,0.588,10.0,0.04,,0.629,,rg1 1nf,0.40700000000000003
156,0.588,10.0,0.04,,0.629,,rg1 1ng,0.40700000000000003
157,0.514,5.0,0.013999999999999999,,0.385,,rg1 1ly,0.752
158,0.514,5.0,0.013999999999999999,,0.385,,rg1 1nh,0.752
159,0.588,10.0,0.04,,0.629,,rg1 1nl,0.40700000000000003
160,0.514,5.0,0.013999999999999999,,0.385,,rg1 1hr,0.752
161,0.588,10.0,0.04,,0.629,,rg1 1nj,0.40700000000000003
162,0.588,10.0,0.04,,0.629,,rg1 1nq,0.40700000000000003
163,0.39799999999999996,5.0,0.021,,0.652,,rg1 1np,0.515
164,0.514,5.0,0.013999999999999999,,0.385,,rg1 1lt,0.752
165,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1ns,0.613
166,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1jt,0.44799999999999995
167,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1nw,0.613
168,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1lf,0.44799999999999995
169,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1nz,0.613
170,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1nt,0.613
171,0.588,10.0,0.04,,0.629,,rg1 1ne,0.40700000000000003
172,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1pd,0.613
173,0.588,10.0,0.04,,0.629,,rg1 1pf,0.40700000000000003
174,0.588,10.0,0.04,,0.629,,rg1 1nu,0.40700000000000003
175,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1gf,0.44799999999999995
176,0.588,10.0,0.04,,0.629,,rg1 1pa,0.40700000000000003
177,0.588,10.0,0.04,,0.629,,rg1 1pe,0.40700000000000003
178,0.588,10.0,0.04,,0.629,,rg1 1lj,0.40700000000000003
179,0.588,10.0,0.04,,0.629,,rg1 1pp,0.40700000000000003
180,0.588,10.0,0.04,,0.629,,rg1 1pl,0.40700000000000003
181,0.588,10.0,0.04,,0.629,,rg1 1pj,0.40700000000000003
182,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1nr,0.44799999999999995
183,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1ny,0.613
184,0.588,10.0,0.04,,0.629,,rg1 1pt,0.40700000000000003
185,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1pn,0.44799999999999995
186,0.39799999999999996,5.0,0.021,,0.652,,rg1 1pb,0.515
187,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ph,0.44799999999999995
188,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ls,0.44799999999999995
189,0.588,10.0,0.04,,0.629,,rg1 1qb,0.40700000000000003
190,0.588,10.0,0.04,,0.629,,rg1 1qa,0.40700000000000003
191,0.588,10.0,0.04,,0.629,,rg1 1pz,0.40700000000000003
192,0.514,5.0,0.013999999999999999,,0.385,,rg1 1lz,0.752
193,0.588,10.0,0.04,,0.629,,rg1 1pr,0.40700000000000003
194,0.588,10.0,0.04,,0.629,,rg1 1qg,0.40700000000000003
195,0.514,5.0,0.013999999999999999,,0.385,,rg1 1ql,0.752
196,0.588,10.0,0.04,,0.629,,rg1 1qe,0.40700000000000003
197,0.588,10.0,0.04,,0.629,,rg1 1py,0.40700000000000003
198,0.588,10.0,0.04,,0.629,,rg1 1px,0.40700000000000003
199,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1na,0.613
200,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1pg,0.613
201,0.588,10.0,0.04,,0.629,,rg1 1qd,0.40700000000000003
202,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1nx,0.613
203,0.433,3.0,0.012,,0.544,,rg1 1ra,0.644
204,0.514,5.0,0.013999999999999999,,0.385,,rg1 1qy,0.752
205,0.588,10.0,0.04,,0.629,,rg1 1pw,0.40700000000000003
206,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1qr,0.613
207,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1lh,0.44799999999999995
208,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1rg,0.613
209,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ps,0.44799999999999995
210,0.588,10.0,0.04,,0.629,,rg1 1rf,0.40700000000000003
211,0.588,10.0,0.04,,0.629,,rg1 1qq,0.40700000000000003
212,0.588,10.0,0.04,,0.629,,rg1 1nn,0.40700000000000003
213,0.514,5.0,0.013999999999999999,,0.385,,rg1 1qh,0.752
214,0.514,5.0,0.013999999999999999,,0.385,,rg1 1rs,0.752
215,0.514,5.0,0.013999999999999999,,0.385,,rg1 1rp,0.752
216,0.514,5.0,0.013999999999999999,,0.385,,rg1 1rr,0.752
217,0.514,5.0,0.013999999999999999,,0.385,,rg1 1rw,0.752
218,0.514,5.0,0.013999999999999999,,0.385,,rg1 1rt,0.752
219,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1rd,0.44799999999999995
220,0.588,10.0,0.04,,0.629,,rg1 1qf,0.40700000000000003
