ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.17,24,0.002,,0.333,,ta9,0.981
0.168,126,0.008,,0.412,,l26,0.957
0.167,4,0.0,,0.368,,td5,0.991
0.256,144,0.005,,0.445,,g44,0.947
0.164,292,0.005,,0.364,,bb2,0.77
0.162,4,0.001,,0.418,,hs1,0.982
0.382,16,0.002,,0.429,,ex3,0.974
0.184,639,0.017,,0.391,,ne8,0.899
0.253,180,0.007,,0.354,,g46,0.894
0.213,223,0.005,,0.36,,ln2,0.952
0.243,191,0.005,,0.413,,lu6,0.932
0.095,259,0.004,,0.368,,st6,0.878
0.378,135,0.004,,0.384,,b74,0.877
0.439,568,0.011,,0.558,,sw4,0.693
0.044,42,0.003,,0.286,,g45,0.958
0.235,26,0.001,,0.378,,me9,0.973
0.318,174,0.005,,0.401,,b60,0.952
0.192,2,0.005,,0.546,,ze3,0.988
0.168,161,0.004,,0.381,,s41,0.96
0.132,703,0.018,,0.27,,m8,0.438
0.126,1438,0.034,,0.232,,ne4,0.581
0.138,161,0.004,,0.373,,dy1,0.809
0.172,182,0.017,,0.343,,g5,0.84
0.134,410,0.018,,0.284,,b18,0.277
0.06,24,0.003,,0.277,,l28,0.967
0.314,486,0.012,,0.403,,n19,0.687
0.283,104,0.002,,0.403,,hd7,0.971
0.24,963,0.02,,0.359,,n22,0.599
0.23,2,0.002,,0.371,,ph5,0.979
0.228,170,0.005,,0.363,,b28,0.55
0.276,11,0.002,,0.244,,dt7,0.979
0.19,,,,0.37,,sa8,
0.228,90,0.006,,0.401,,ca3,0.974
0.376,179,0.005,,0.436,,sg4,0.888
0.083,14,0.038,,0.442,,g58,0.938
0.132,113,0.003,,0.367,,sr3,0.978
0.156,136,0.004,,0.394,,cw7,0.979
0.11,79,0.002,,0.354,,ss8,0.972
0.285,99,0.012,,0.295,,bh3,0.893
0.176,225,0.006,,0.425,,lu5,0.892
0.317,226,0.007,,0.409,,en2,0.812
0.361,31,0.003,,0.323,,tn5,0.972
0.128,195,0.004,,0.39,,wn7,0.963
0.363,757,0.026,,0.358,,nw7,0.63
0.233,310,0.013,,0.414,,sm3,0.807
0.459,1169,0.021,,0.461,,w5,0.688
0.129,,,,0.355,,np9,
0.265,20,0.001,,0.41,,ip7,0.966
0.232,73,0.002,,0.435,,cb8,0.943
0.163,506,0.013,,0.355,,sr2,0.903
0.222,198,0.002,,0.42,,le6,0.968
0.08,1111,0.023,,0.335,,m40,0.807
0.135,118,0.003,,0.401,,b26,0.829
0.178,,,,0.264,,ld6,
0.216,393,0.009,,0.414,,sm5,0.81
0.314,74,0.002,,0.39,,hd9,0.974
0.183,240,0.009,,0.346,,de1,0.816
0.164,77,0.002,,0.441,,g75,0.978
0.253,95,0.005,,0.47,,g68,0.964
0.14,166,0.003,,0.424,,ml1,0.971
0.074,9,0.001,,0.407,,fk3,0.987
0.082,11,0.014,,0.202,,s96,0.39
0.091,10,0.023,,0.182,,s99,0.236
0.445,268,0.042,,0.438,,w1r,0.71
0.169,15,0.001,,0.642,,sp9,0.902
0.083,786,0.035,,0.234,,m12,0.384
0.213,584,0.014,,0.35,,e9,0.485
0.152,88,0.002,,0.438,,b77,0.973
0.184,24,0.002,,0.458,,ze2,0.992
0.174,7,0.0,,0.396,,hs2,0.994
0.265,3,0.002,,0.386,,iv5,0.984
0.075,190,0.004,,0.193,,b8,0.172
0.224,715,0.014,,0.352,,ha9,0.266
0.152,74,0.002,,0.323,,tq1,0.968
0.21,472,0.006,,0.408,,pr2,0.873
0.309,549,0.008,,0.411,,cr3,0.874
